"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categoryName","url"
"Texas Chicken (Causeway Point)","4.3","1506","1 Woodlands Square, #01-14/15 Causeway Point","Singapore",,"SG","https://sg.texaschicken.com/","+65 6894 8677","Fast food restaurant","https://www.google.com/maps/search/?api=1&query=Texas%20Chicken%20(Causeway%20Point)&query_place_id=ChIJJ2dCl6gT2jEROf9jJh3QsbA"
"PastaMania - Causeway Point","4.3","1129","1 Woodlands Square, B1-20 Causeway Point","Singapore",,"SG","http://www.pastamania.com.sg/locations/","+65 6891 1349","Italian restaurant","https://www.google.com/maps/search/?api=1&query=PastaMania%20-%20Causeway%20Point&query_place_id=ChIJ_QCRl6gT2jERBU3Rp_2ZQlI"
"Lao Huo Tang Restaurant","3.7","73","1 Woodlands Square, #03-02 Causeway Point","Singapore",,"SG",,"+65 6219 5716","Restaurant","https://www.google.com/maps/search/?api=1&query=Lao%20Huo%20Tang%20Restaurant&query_place_id=ChIJ2Uv5MfkT2jERDRoDkE8_m2Y"
"Gravy Bistro and Bar","4.7","16","40 Pasir Panjang Rd, #02-36","Singapore",,"SG","https://gravy-bistro-and-bar.business.site/?utm_source=gmb&utm_medium=referral","+65 9723 3336","Bistro","https://www.google.com/maps/search/?api=1&query=Gravy%20Bistro%20and%20Bar&query_place_id=ChIJw2p2unMb2jERNZOc0g8Xqak"
"Ivan's Carbina","4.2","453","354A Woodlands Ave 5","Singapore",,"SG","https://m.facebook.com/Carbinawesternfood/","+65 8292 8599","Restaurant","https://www.google.com/maps/search/?api=1&query=Ivan's%20Carbina&query_place_id=ChIJJfLIHmMT2jERL8KjuVQjzck"
"Zhong Tai Seafood Restaurant","3.4","20","Blk 354-A Woodlands Ave 1, #01-01","Singapore",,"SG",,"+65 6368 9738","Restaurant","https://www.google.com/maps/search/?api=1&query=Zhong%20Tai%20Seafood%20Restaurant&query_place_id=ChIJG9zl1YQT2jERwK3dbpbplx8"
"Crystal Jade Hong Kong Kitchen","3.9","540","Woodlands Square, #05-10 Causeway Point","Singapore",,"SG","http://www.crystaljade.com/","+65 8366 8498","Chinese restaurant","https://www.google.com/maps/search/?api=1&query=Crystal%20Jade%20Hong%20Kong%20Kitchen&query_place_id=ChIJ7eVXlqgT2jERZYfylUSl-Hs"
"ASHMI Restaurant","3.9","255","124 Pasir Panjang Rd","Singapore",,"SG",,"+65 6473 6116","Restaurant","https://www.google.com/maps/search/?api=1&query=ASHMI%20Restaurant&query_place_id=ChIJPan-Wrkb2jERK7WQNN3g9Xw"
"Saizeriya (Woods Square Mall)","3.6","184","6 Woodlands Square, #B2-22, Woods Square Mall","Singapore",,"SG","https://www.saizeriya.com.sg/","+65 6908 6571","Italian restaurant","https://www.google.com/maps/search/?api=1&query=Saizeriya%20(Woods%20Square%20Mall)&query_place_id=ChIJ2_OSvfoT2jERQirpavI65OQ"
"Bali Thai (Causeway Point)","3.8","419","1 Woodlands Square, #05-05","Singapore",,"SG","http://www.balithai.com.sg/","+65 6894 1363","Thai restaurant","https://www.google.com/maps/search/?api=1&query=Bali%20Thai%20(Causeway%20Point)&query_place_id=ChIJoSF1m6gT2jERQQjvKZygmVA"
"Black Cherry","4.6","156","4 Jln Mat Jambol, #01-09","Singapore",,"SG","https://www.blackcherry.sg/","+65 6957 5567","Italian restaurant","https://www.google.com/maps/search/?api=1&query=Black%20Cherry&query_place_id=ChIJFWpJI2Yb2jERjwhaLgptMNM"
"HooHa Cafe","4.3","44","3 South Buona Vista Rd, #B1-06 Viva Vista Mall","Singapore",,"SG","https://www.chope.co/singapore-restaurants/restaurant/hooha-cafe","+65 6250 6348","Restaurant","https://www.google.com/maps/search/?api=1&query=HooHa%20Cafe&query_place_id=ChIJ08b9RKUb2jER4HbtO6l_RIg"
"Yuzutei Japanese Restaurant","4.3","250","100G Pasir Panjang Rd #01-01Interlocal Centre","Singapore",,"SG","https://yuzuteisg.business.site/?utm_source=gmb&utm_medium=referral","+65 9689 4092","Restaurant","https://www.google.com/maps/search/?api=1&query=Yuzutei%20Japanese%20Restaurant&query_place_id=ChIJJUKV97gb2jERKbp1AJJ9f4w"
"Vineyard","4.5","1588","33 Hyderabad Road, #02-02 Hort Park","Singapore",,"SG","https://www.vineyardhortpark.com.sg/","+65 3125 1860","French restaurant","https://www.google.com/maps/search/?api=1&query=Vineyard&query_place_id=ChIJw3lZ6ccb2jERiNboEqNCFic"
"Harry's Mapletree Business City","3.8","123","40 Pasir Panjang Rd, #02-43/44 Mapletree Business City II","Singapore",,"SG","http://harrys.com.sg/","+65 8268 8092","Restaurant","https://www.google.com/maps/search/?api=1&query=Harry's%20Mapletree%20Business%20City&query_place_id=ChIJI3jdvMAb2jERtq4a-GxN5ZU"
"Al-Ameen Eating Corner","4.2","3956","35 Marsiling Industrial Estate Road 3 #01-11 Central Industrial Estate","Singapore",,"SG","https://m.facebook.com/pages/Al-Ameen/361765083896082","+65 6366 1740","Coffee shop","https://www.google.com/maps/search/?api=1&query=Al-Ameen%20Eating%20Corner&query_place_id=ChIJ2SMYHbIT2jERVptk4MxCg00"
"Barrels","4.3","192","34 South Buona Vista Rd","Singapore",,"SG","https://barrels.business.site/?utm_source=gmb&utm_medium=referral","+65 6472 1834","Restaurant","https://www.google.com/maps/search/?api=1&query=Barrels&query_place_id=ChIJ7Z3gWqUb2jER2usAUakliwM"
"Poulet - Causeway Point","4.7","4760","1 Woodlands Square, #B1 - 25 Causeway Point","Singapore",,"SG","https://www.poulet.com.sg/","+65 6219 5122","Restaurant","https://www.google.com/maps/search/?api=1&query=Poulet%20-%20Causeway%20Point&query_place_id=ChIJ04r6T6QT2jERFCJZUCaQpZ4"
"Cheval Cafe Bar Bistro","4.3","694","1 Equestrian Walk, Singapore Turf Club Riding Centre","Singapore",,"SG","http://cheval.com.sg/","+65 6269 0918","Bistro","https://www.google.com/maps/search/?api=1&query=Cheval%20Cafe%20Bar%20Bistro&query_place_id=ChIJde_Sl0kS2jERbyHYOmhy2u0"
"BOMBAY DINING-NORTH INDIAN RESTAURANT","3.6","279","89 Pasir Panjang Rd","Singapore",,"SG",,"+65 6475 5855","Restaurant","https://www.google.com/maps/search/?api=1&query=BOMBAY%20DINING-NORTH%20INDIAN%20RESTAURANT&query_place_id=ChIJbXfs1r4b2jERe6bLvwyx4Jo"
"Esarn Thai Corner Pasir Panjang","4.4","554","130 Pasir Panjang Rd","Singapore",,"SG","https://social.quandoo.com/en/groups/Esarn%20Thai%20Corner%20-%20Pasir%20Panjang","+65 6473 3716","Thai restaurant","https://www.google.com/maps/search/?api=1&query=Esarn%20Thai%20Corner%20Pasir%20Panjang&query_place_id=ChIJFwkLXLkb2jERSCQmKC7_PXw"
"99 Buona Vista Kitchen","4.2","462","22 South Buona Vista Rd","Singapore",,"SG","https://www.facebook.com/pages/99-Kitchen-22-South-Buona-Vista/225258130841891","+65 9241 1352","Chinese restaurant","https://www.google.com/maps/search/?api=1&query=99%20Buona%20Vista%20Kitchen&query_place_id=ChIJR4mBArAb2jERMQtZDkYdvhE"
"East Treasure Chinese Restaurant (東寶) Woods Square","4.1","166","6 Woodlands Square, #01-07/08/09/10 Woods Square","Singapore",,"SG","http://www.easttreasure.com.sg/","+65 6908 5650","Chinese restaurant","https://www.google.com/maps/search/?api=1&query=East%20Treasure%20Chinese%20Restaurant%20(%E6%9D%B1%E5%AF%B6)%20Woods%20Square&query_place_id=ChIJB6GpqcIT2jER9K6akoOWj14"
"Hot Tomato","4","682","1 Woodlands Square, #02-11","Singapore",,"SG","http://www.hottomato.com.sg/","+65 6894 2685","Restaurant","https://www.google.com/maps/search/?api=1&query=Hot%20Tomato&query_place_id=ChIJ7eVXlqgT2jERGCo2lUzB8tw"
"Paradise Restaurant","4","365","93 Pasir Panjang Rd","Singapore",,"SG",,"+65 6352 0010","Indian restaurant","https://www.google.com/maps/search/?api=1&query=Paradise%20Restaurant&query_place_id=ChIJV_3I1r4b2jERXm75U0No9uo"
"Mamma Mia Trattoria E Caffè (Jurong Point)","4.7","3095","1 Jurong West Central 2, #01-48/49","Singapore",,"SG","https://www.minorfoodsingapore.com/brands/mamma-mia-trattoria-e-caffe/","+65 6250 8545","Italian restaurant","https://www.google.com/maps/search/?api=1&query=Mamma%20Mia%20Trattoria%20E%20Caff%C3%A8%20(Jurong%20Point)&query_place_id=ChIJtz-PRn0P2jERRwiNJq-2gTs"
"ALI MD KAWSAR",,"0",,,,"SG",,,"Restaurant","https://www.google.com/maps/search/?api=1&query=ALI%20MD%20KAWSAR&query_place_id=ChIJt3sTaDQH2jERcK19IkEqm84"
"Legendary Hong Kong Restaurant @ Jurong Point 香港傳奇餐廳","4.1","1752","63 Jurong West Central 3, #03-80 Jurong Point","Singapore",,"SG","http://www.lhk.com.sg/",,"Hong Kong style fast food restaurant","https://www.google.com/maps/search/?api=1&query=Legendary%20Hong%20Kong%20Restaurant%20%40%20Jurong%20Point%20%E9%A6%99%E6%B8%AF%E5%82%B3%E5%A5%87%E9%A4%90%E5%BB%B3&query_place_id=ChIJHcaYLpMP2jERjhDMRZ9A7-k"
"3 Monkeys","4.4","284","122 Pasir Panjang Rd","Singapore",,"SG","https://social.quandoo.com/en/groups/3%20Monkeys","+65 6471 3224","Fusion restaurant","https://www.google.com/maps/search/?api=1&query=3%20Monkeys&query_place_id=ChIJh1xLv8ob2jERsmnhkal2RRQ"
"Shou La Shou Beijing Restaurant","3","1","63 Jurong West Central 3","Singapore",,"SG",,,"Restaurant","https://www.google.com/maps/search/?api=1&query=Shou%20La%20Shou%20Beijing%20Restaurant&query_place_id=ChIJy64vxOwP2jERtAwUSlkV6uk"
"Douraku Sushi","4.3","31","511 Upper Jurong Rd, d'Arena","Singapore",,"SG","https://www.dourakusushi.com/","+65 6262 6996","Japanese restaurant","https://www.google.com/maps/search/?api=1&query=Douraku%20Sushi&query_place_id=ChIJKWREE2kP2jERk0CEOztT8no"
"KNS Restaurant","3.6","480","990 Jurong West Street 93, #01-01","Singapore",,"SG","https://knsrestaurant.com/","+65 6816 1633","Indian Muslim restaurant","https://www.google.com/maps/search/?api=1&query=KNS%20Restaurant&query_place_id=ChIJgbsEHOsP2jERI7yaT9xZU_Y"
"Broadway Food Centre","3.8","48","60 Gul Ln","Singapore",,"SG","http://www.broadway.com.sg/",,"Hawker center","https://www.google.com/maps/search/?api=1&query=Broadway%20Food%20Centre&query_place_id=ChIJN-9cbJMF2jERXCwXaWxgEWE"
"Xiang Xiang Vegetarian Food & Fruit","4.2","9","1 Tuas Bay Walk637753 Tuas Bay Walk","Singapore",,"SG","http://www.xiangxiangvegetarian.com/contacts","+65 6558 7855","Vegetarian restaurant","https://www.google.com/maps/search/?api=1&query=Xiang%20Xiang%20Vegetarian%20Food%20%26%20Fruit&query_place_id=ChIJHU6YBgwG2jERGlLqcQbkudM"
"Wong Chian Choy",,"0","7 Tuas Ave 3","Singapore",,"SG",,"+65 6862 1637","Restaurant","https://www.google.com/maps/search/?api=1&query=Wong%20Chian%20Choy&query_place_id=ChIJqRSFdPMF2jERq99ApkH77gQ"
"Weng Jia Cai 翁家菜","4.8","10","27 Pioneer Rd N","Singapore",,"SG","https://weng-jia-cai.business.site/?utm_source=gmb&utm_medium=referral","+65 9228 2925","Chinese restaurant","https://www.google.com/maps/search/?api=1&query=Weng%20Jia%20Cai%20%E7%BF%81%E5%AE%B6%E8%8F%9C&query_place_id=ChIJgUSQSCEF2jER3L-ikJMuXDY"
"Subway","3.9","38","30 Tuas Bay Dr, #01-1B Syscon Building","Singapore",,"SG","http://www.sub2u.com/","+65 6592 4911","Fast food restaurant","https://www.google.com/maps/search/?api=1&query=Subway&query_place_id=ChIJ-1-yDoAH2jER9MBc-sqEWdg"
"Rasa Istimewa Restaurant @ SAFRA Jurong","4.4","363","333 Boon Lay Wy, #2B-01","Singapore",,"SG","http://www.rasaistimewa.sg/","+65 6877 9339","Restaurant","https://www.google.com/maps/search/?api=1&query=Rasa%20Istimewa%20Restaurant%20%40%20SAFRA%20Jurong&query_place_id=ChIJ6w20tYcP2jERTgGjpchB0Ng"
"Uncle Leong Signatures (FairPrice Hub)","3.6","448","1 Joo Koon Cir, #03-26","Singapore",,"SG","http://www.uncleleongsignatures.com/","+65 8878 0803","Chinese restaurant","https://www.google.com/maps/search/?api=1&query=Uncle%20Leong%20Signatures%20(FairPrice%20Hub)&query_place_id=ChIJ1bio5vwV2jERYTVD256o8FQ"
"Zen's Taste 真味","5","1","71 Pioneer Rd","Singapore",,"SG",,,"Hawker stall","https://www.google.com/maps/search/?api=1&query=Zen's%20Taste%20%E7%9C%9F%E5%91%B3&query_place_id=ChIJOey5JtcF2jERH_RygE3XPz4"
"Devil's Kitchen","4.4","189","1 Yuan Ching Rd, #01-03A/07","Singapore",,"SG","https://www.facebook.com/devilskitchenby15Five/","+65 6816 9868","Bistro","https://www.google.com/maps/search/?api=1&query=Devil's%20Kitchen&query_place_id=ChIJB198_AoF2jER7pG_JPr3f4U"
"iEat Canteen","3.9","206","47 Tuas South Ave 1","Singapore",,"SG","http://ieat.com.sg/","+65 8486 1721","Coffee shop","https://www.google.com/maps/search/?api=1&query=iEat%20Canteen&query_place_id=ChIJ930CjQUG2jERtd_vGrS5cAI"
"Makkal Vilas","4.1","137","11 Tech Park Cres","Singapore",,"SG",,"+65 8245 5484","Indian restaurant","https://www.google.com/maps/search/?api=1&query=Makkal%20Vilas&query_place_id=ChIJoxHW9AAH2jERDulOcSOV3nY"
"XI YAN SEAFOOD RESTAURANT (禧宴海鲜酒家)","4.2","241","241 Jln. Ahmad Ibrahim","Singapore",,"SG","http://xi-yan-seafood-restaurant.business.site/","+65 8938 1118","Restaurant","https://www.google.com/maps/search/?api=1&query=XI%20YAN%20SEAFOOD%20RESTAURANT%20(%E7%A6%A7%E5%AE%B4%E6%B5%B7%E9%B2%9C%E9%85%92%E5%AE%B6)&query_place_id=ChIJk_OaEA4F2jERK4K76TfkSGc"
"SZ Kitchen @ D’Arena","4.7","42","511 Upper Jurong Rd, Blk E Level 1","Singapore",,"SG","https://szkitchendarena.business.site/?utm_source=gmb&utm_medium=referral","+65 8013 0558","Fish and seafood restaurant","https://www.google.com/maps/search/?api=1&query=SZ%20Kitchen%20%40%20D%E2%80%99Arena&query_place_id=ChIJ2cHrHK8P2jERrEVc8kgYqmg"
"Ashika Restaurant & Catering Pte Ltd","4","1",,"Singapore",,"SG",,"+65 6369 9890","Restaurant","https://www.google.com/maps/search/?api=1&query=Ashika%20Restaurant%20%26%20Catering%20Pte%20Ltd&query_place_id=ChIJKUrz544P2jER_YwTthcDGPQ"
"WESTEND","4.3","41","511 Upper Jurong Rd, #01-05 d'Arena","Singapore",,"SG",,"+65 9834 2993","Restaurant","https://www.google.com/maps/search/?api=1&query=WESTEND&query_place_id=ChIJeVlAsisP2jERNu8eyqHXSzk"
"I.Host Foodworks & Catering Pte Ltd",,"0","6 Tuas Bay Walk","Singapore",,"SG",,"+65 6261 4600","Fusion restaurant","https://www.google.com/maps/search/?api=1&query=I.Host%20Foodworks%20%26%20Catering%20Pte%20Ltd&query_place_id=ChIJ48QhjgsG2jERxyZjcxDGJwA"
"D9 Pier Seafood & Tze Char","4","5","9d Jurong Pier Rd","Singapore",,"SG","https://instagram.com/d9seafood?igshid=YmMyMTA2M2Y=","+65 8381 1200","Seafood restaurant","https://www.google.com/maps/search/?api=1&query=D9%20Pier%20Seafood%20%26%20Tze%20Char&query_place_id=ChIJ6w5AjroF2jERulAz8yN6U5Y"
"Staff Canteen @ Tuas South Avenue 6","4.5","2","35 Tuas South Ave 6","Singapore",,"SG",,"+65 6778 2810","Restaurant","https://www.google.com/maps/search/?api=1&query=Staff%20Canteen%20%40%20Tuas%20South%20Avenue%206&query_place_id=ChIJ72deZdcF2jERRUV1Z2kJmYQ"
"Nandhana’s Restaurant","3.6","268","1 Joo Koon Cir","Singapore",,"SG","http://www.nandhanas.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=7268294159237354021","+65 6904 3766","Indian restaurant","https://www.google.com/maps/search/?api=1&query=Nandhana%E2%80%99s%20Restaurant&query_place_id=ChIJO4L-b8EF2jERfcF00jX9Ae8"
"Santoshimaa Caterers Pte. Ltd.","1","1","71 Pioneer Rd","Singapore",,"SG",,,"Restaurant","https://www.google.com/maps/search/?api=1&query=Santoshimaa%20Caterers%20Pte.%20Ltd.&query_place_id=ChIJN4w4Qe4F2jER_6AHA-dcZao"
"Le Top","5","1","47 Tuas South Ave 1","Singapore",,"SG",,,"Restaurant","https://www.google.com/maps/search/?api=1&query=Le%20Top&query_place_id=ChIJzQXk-bEH2jERfzQavK1Oxx4"
"JSN RESTAURANT PTE. LTD","4.3","44","No 1 Soon Lee St","Singapore",,"SG",,"+65 8384 3433","Restaurant","https://www.google.com/maps/search/?api=1&query=JSN%20RESTAURANT%20PTE.%20LTD&query_place_id=ChIJp6uq_Y4P2jERX_18Em1CjWc"
"Greenhouse Bistro","4.2","290","30 Tuas Bay Dr, #01-00","Singapore",,"SG",,"+65 9822 0053","Restaurant","https://www.google.com/maps/search/?api=1&query=Greenhouse%20Bistro&query_place_id=ChIJ5UCkFuEH2jERbLSqUpAAb4c"
"GV RESTAURANT PTE LTD","4.7","3","109 Tuas View Walk 1","Singapore",,"SG",,"+65 8268 2648","Indian restaurant","https://www.google.com/maps/search/?api=1&query=GV%20RESTAURANT%20PTE%20LTD&query_place_id=ChIJi23YbQ4H2jERUj66I5FSJiU"
"Tuas Food Court","3.7","13","69 Tuas Bay Dr","Singapore",,"SG",,,"Restaurant","https://www.google.com/maps/search/?api=1&query=Tuas%20Food%20Court&query_place_id=ChIJRW3GpAgG2jERjcD97jht7uQ"
"Long King Canteen","4.1","250","69R Tuas South Ave 1, #01-01","Singapore",,"SG",,,"Asian restaurant","https://www.google.com/maps/search/?api=1&query=Long%20King%20Canteen&query_place_id=ChIJMxwNLgwG2jERnctUAtq_oaA"
"AL-DIA Indian Muslim Restaurant","3.7","7","2 Tuas South Street 2","Singapore",,"SG",,,"Indian restaurant","https://www.google.com/maps/search/?api=1&query=AL-DIA%20Indian%20Muslim%20Restaurant&query_place_id=ChIJWWpwVksH2jERIN9b4s7D0Ok"
"AA Restaurant","3.5","39","01-12 14 Tuas Ave 1","Singapore",,"SG",,"+65 9477 6642","Indian restaurant","https://www.google.com/maps/search/?api=1&query=AA%20Restaurant&query_place_id=ChIJqb2jphoF2jERDiStSMJ99FU"
"Fillmes Ris Bar",,"0","51 Pioneer Sector 1","Singapore",,"SG",,,"Bar & grill","https://www.google.com/maps/search/?api=1&query=Fillmes%20Ris%20Bar&query_place_id=ChIJdxO0PcQF2jERSDao4-lC758"
"KJM CURRY HOUSE & RESTAURANT","3.2","16","3 Sakra Rd","Singapore",,"SG",,"+65 9865 1168","Indian restaurant","https://www.google.com/maps/search/?api=1&query=KJM%20CURRY%20HOUSE%20%26%20RESTAURANT&query_place_id=ChIJDeLY65UE2jERLYIiZj1snS4"
"Jai Raja's Pte Ltd","4","82","15 Tuas View Cl, 92 Tuas South Ave 3","Singapore",,"SG",,"+65 9850 7386","Restaurant","https://www.google.com/maps/search/?api=1&query=Jai%20Raja's%20Pte%20Ltd&query_place_id=ChIJKzSDq80H2jERq8NzVWnR-uk"
"Mariners' Corner Restaurant","4.3","992","106 Clementi Street 12, #01-40","Singapore",,"SG","https://www.facebook.com/pages/category/Family-Style-Restaurant/Mariners-Corner-Restaurant-164932550195771/","+65 6224 9928","Restaurant","https://www.google.com/maps/search/?api=1&query=Mariners'%20Corner%20Restaurant&query_place_id=ChIJbfDuOGwZ2jER0mtQ4rwdx7Q"
"Peperoni Pizzeria @ Upper Thomson","4.5","865","267 Upper Thomson Rd","Singapore",,"SG","https://www.peperoni.com.sg/","+65 6681 6726","Italian restaurant","https://www.google.com/maps/search/?api=1&query=Peperoni%20Pizzeria%20%40%20Upper%20Thomson&query_place_id=ChIJP8NvoDoX2jERs9aVRfLWaEc"
"Parker Korean Restaurant","4","248","209 Upper Thomson Rd","Singapore",,"SG","https://parkerrestaurant.wixsite.com/parkerrestaurant","+65 6251 2606","Korean restaurant","https://www.google.com/maps/search/?api=1&query=Parker%20Korean%20Restaurant&query_place_id=ChIJGbcRWToX2jERSpPRYiSt_74"
"Tandoori Corner","4.3","491","400 Balestier Rd, #01-12 Balestier Plaza","Singapore",,"SG","http://www.tandooricorner.com.sg/","+65 6250 0200","Indian restaurant","https://www.google.com/maps/search/?api=1&query=Tandoori%20Corner&query_place_id=ChIJU0CzkpEX2jERXkML1VNm1_A"
"Shake Shack Junction 8","3.7","200","9 Bishan Pl, #01-51 Shopping Centre, Junction 8","Singapore",,"SG","http://shakeshack.com.sg/",,"Western restaurant","https://www.google.com/maps/search/?api=1&query=Shake%20Shack%20Junction%208&query_place_id=ChIJeUCn2PgX2jERUsNa4VaTMqA"
"JuFu Mala Kitchen Restaurant","4","23","11 Lor 3 Toa Payoh #01-34, Stall 4 Block C Food Court, Jackson Square","Singapore",,"SG","http://www.jufucafe.com/","+65 8646 3609","Mandarin restaurant","https://www.google.com/maps/search/?api=1&query=JuFu%20Mala%20Kitchen%20Restaurant&query_place_id=ChIJA-aa1WUX2jERA1GubaaAv5Q"
"Peach Garden @ Thomson Plaza","3.7","1901","301 Upper Thomson Rd, #01-88 Thomson Plaza","Singapore",,"SG","http://www.peachgarden.com.sg/thomson-plaza","+65 6451 3233","Chinese restaurant","https://www.google.com/maps/search/?api=1&query=Peach%20Garden%20%40%20Thomson%20Plaza&query_place_id=ChIJN0cGKDAX2jERKPM7k6kC5ug"
"East Treasure Chinese Restaurant Toa Payoh","4.1","316","470 Lor 6 Toa Payoh, #01-72","Singapore",,"SG","https://easttreasure.com.sg/","+65 6252 4645","Chinese restaurant","https://www.google.com/maps/search/?api=1&query=East%20Treasure%20Chinese%20Restaurant%20Toa%20Payoh&query_place_id=ChIJFwoBo3IZ2jERcQK7JSgvT1k"
"Shaan North Indian Restaurant","4.7","20","31 Ocean Way #01-08 Quayside Isle, Sentosa Cove","Singapore",,"SG","https://www.shaan.sg/",,"Indian restaurant","https://www.google.com/maps/search/?api=1&query=Shaan%20North%20Indian%20Restaurant&query_place_id=ChIJjf0e-rMf2jERh_tGEBLxdjQ"
"FOC Sentosa","4.2","1445","110 Tanjong Beach Walk","Singapore",,"SG","http://www.focsentosa.com/","+65 6100 1102","Spanish restaurant","https://www.google.com/maps/search/?api=1&query=FOC%20Sentosa&query_place_id=ChIJBRTle6ke2jERAykxAgtBm68"
"Good Old Days Food Court","4.1","1775","60 Siloso Bch Walk","Singapore",,"SG","https://www.mountfaberleisure.com/restaurant/good-old-days/","+65 6361 0088","Singaporean restaurant","https://www.google.com/maps/search/?api=1&query=Good%20Old%20Days%20Food%20Court&query_place_id=ChIJAQAAsAAc2jERbbHzLY1ImcM"
"Feng Shui Inn","3.9","213","8 Sentosa Gateway, Hotel, Lobby, #01-521 & 522 Resorts World Sentosa, Equarius","Singapore",,"SG","https://www.rwsentosa.com/en/restaurants/signature-restaurants/feng-shui-inn","+65 6577 6599","Chinese restaurant","https://www.google.com/maps/search/?api=1&query=Feng%20Shui%20Inn&query_place_id=ChIJIZfT4P0b2jERv45K2bx1LzI"
"Greenwood Fish Market","4.3","2239","31 Ocean Way, #01 - 04 / 05","Singapore",,"SG","http://greenwoodfishmarket.com/","+65 6262 0450","Seafood restaurant","https://www.google.com/maps/search/?api=1&query=Greenwood%20Fish%20Market&query_place_id=ChIJw4tLzbUe2jERvRFvI6krOhY"
"Royal Taj @ Village Hotel","4.6","585","2, block 16 Gunner Ln, #02-06 Singapore Mess Hall","Singapore",,"SG","http://www.royaltaj.sg/","+65 9118 5896","Indian restaurant","https://www.google.com/maps/search/?api=1&query=Royal%20Taj%20%40%20Village%20Hotel&query_place_id=ChIJt7XjpoMb2jERHu6tRHI8Ap8"
"eM By The Marina","4.2","229","1 Cove Ave, #02-14 Sentosa Cove Arrival Plaza","Singapore",,"SG","https://embythemarina.business.site/?utm_source=gmb&utm_medium=referral","+65 6271 2802","Bar","https://www.google.com/maps/search/?api=1&query=eM%20By%20The%20Marina&query_place_id=ChIJB5IMHLQe2jERqCVyS_utle8"
