"title","categoryName","address","neighborhood","street","city","postalCode","state","countryCode","website","phone","phoneUnformatted","location/lat","location/lng","plusCode"
"Douraku Sushi","Japanese restaurant","511 Upper Jurong Rd, d'Arena, Singapore 638366","Jurong West","511 Upper Jurong Rd, d'Arena","Singapore","638366",,"SG","https://www.dourakusushi.com/","+65 6262 6996","+6562626996","1.3293792","103.6830768","8MHM+Q6 Singapore"
"KNS Restaurant","Indian Muslim restaurant","990 Jurong West Street 93, #01-01, Singapore 640990","Jurong West","990 Jurong West Street 93, #01-01","Singapore","640990",,"SG","https://knsrestaurant.com/","+65 6816 1633","+6568161633","1.3352247","103.6957382","8MPW+37 Singapore"
"Broadway Food Centre","Hawker center","60 Gul Ln, Singapore 629437","Pioneer","60 Gul Ln","Singapore","629437",,"SG","http://www.broadway.com.sg/",,,"1.3141599","103.6622191","8M76+MV Singapore"
"Xiang Xiang Vegetarian Food & Fruit","Vegetarian restaurant","1 Tuas Bay Walk637753 Tuas Bay Walk, Singapore 637753","Tuas","1 Tuas Bay Walk637753 Tuas Bay Walk","Singapore","637753",,"SG","http://www.xiangxiangvegetarian.com/contacts","+65 6558 7855","+6565587855","1.3131732","103.6311164","8J7J+7C Singapore"
"Wong Chian Choy","Restaurant","7 Tuas Ave 3, Singapore 639406","Tuas","7 Tuas Ave 3","Singapore","639406",,"SG",,"+65 6862 1637","+6568621637","1.3222604","103.6567998","8MC4+WP Singapore"
"Weng Jia Cai 翁家菜","Chinese restaurant","27 Pioneer Rd N, Singapore 628470","Pioneer","27 Pioneer Rd N","Singapore","628470",,"SG","https://weng-jia-cai.business.site/?utm_source=gmb&utm_medium=referral","+65 9228 2925","+6592282925","1.3265118","103.6961967","8MGW+JF Singapore"
"Subway","Fast food restaurant","30 Tuas Bay Dr, #01-1B Syscon Building, Singapore 637548","Tuas","30 Tuas Bay Dr, #01-1B Syscon Building","Singapore","637548",,"SG","http://www.sub2u.com/","+65 6592 4911","+6565924911","1.3152998","103.6322635","8J8J+4W Singapore"
"Rasa Istimewa Restaurant @ SAFRA Jurong","Restaurant","333 Boon Lay Wy, #2B-01, Singapore 649848","Jurong West","333 Boon Lay Wy, #2B-01","Singapore","649848",,"SG","http://www.rasaistimewa.sg/","+65 6877 9339","+6568779339","1.3350927","103.706292","8PP4+2G Singapore"
"Uncle Leong Signatures (FairPrice Hub)","Chinese restaurant","1 Joo Koon Cir, #03-26, Singapore 629117","Pioneer","1 Joo Koon Cir, #03-26","Singapore","629117",,"SG","http://www.uncleleongsignatures.com/","+65 8878 0803","+6588780803","1.3272183","103.6785455","8MGH+VC Singapore"
"Zen's Taste 真味","Hawker stall","71 Pioneer Rd, Singapore 639591","Tuas","71 Pioneer Rd","Singapore","639591",,"SG",,,,"1.3171601","103.6520821","8M82+VR Singapore"
"Devil's Kitchen","Bistro","1 Yuan Ching Rd, #01-03A/07, Singapore 618640","Jurong West","1 Yuan Ching Rd, #01-03A/07","Singapore","618640",,"SG","https://www.facebook.com/devilskitchenby15Five/","+65 6816 9868","+6568169868","1.3259658","103.7246953","8PGF+9V Singapore"
"iEat Canteen","Coffee shop","47 Tuas South Ave 1, Singapore 637328","Tuas","47 Tuas South Ave 1","Singapore","637328",,"SG","http://ieat.com.sg/","+65 8486 1721","+6584861721","1.3187438","103.629009","8J9H+FJ Singapore"
"Makkal Vilas","Indian restaurant","11 Tech Park Cres, Singapore 638121","Tuas","11 Tech Park Cres","Singapore","638121",,"SG",,"+65 8245 5484","+6582455484","1.3111156","103.6315005","8J6J+CJ Singapore"
"XI YAN SEAFOOD RESTAURANT (禧宴海鲜酒家)","Restaurant","241 Jln. Ahmad Ibrahim, Singapore 629143","Boon Lay","241 Jln. Ahmad Ibrahim","Singapore","629143",,"SG","http://xi-yan-seafood-restaurant.business.site/","+65 8938 1118","+6589381118","1.321007","103.7089233","8PC5+CH Singapore"
"SZ Kitchen @ D’Arena","Fish and seafood restaurant","511 Upper Jurong Rd, Blk E Level 1, Singapore 638366","Jurong West","511 Upper Jurong Rd, Blk E Level 1","Singapore","638366",,"SG","https://szkitchendarena.business.site/?utm_source=gmb&utm_medium=referral","+65 8013 0558","+6580130558","1.3294537","103.682807","8MHM+Q4 Singapore"
"Ashika Restaurant & Catering Pte Ltd","Restaurant","Singapore 627605","Jurong West",,"Singapore","627605",,"SG",,"+65 6369 9890","+6563699890","1.3332545","103.6976974","8MMX+83 Singapore"
"WESTEND","Restaurant","511 Upper Jurong Rd, #01-05 d'Arena, Singapore 638366","Jurong West","511 Upper Jurong Rd, #01-05 d'Arena","Singapore","638366",,"SG",,"+65 9834 2993","+6598342993","1.3294741","103.6822694","8MHJ+QW Singapore"
"I.Host Foodworks & Catering Pte Ltd","Fusion restaurant","6 Tuas Bay Walk, Singapore 637752","Tuas","6 Tuas Bay Walk","Singapore","637752",,"SG",,"+65 6261 4600","+6562614600","1.3121449","103.631192","8J6J+VF Singapore"
"D9 Pier Seafood & Tze Char","Seafood restaurant","9d Jurong Pier Rd, Singapore 619177","Boon Lay","9d Jurong Pier Rd","Singapore","619177",,"SG","https://instagram.com/d9seafood?igshid=YmMyMTA2M2Y=","+65 8381 1200","+6583811200","1.3126813","103.7095518","8P75+3R Singapore"
"Staff Canteen @ Tuas South Avenue 6","Restaurant","35 Tuas South Ave 6, Singapore 637377","Tuas","35 Tuas South Ave 6","Singapore","637377",,"SG",,"+65 6778 2810","+6567782810","1.299008","103.639971","7JXQ+JX Singapore"
"Nandhana’s Restaurant","Indian restaurant","1 Joo Koon Cir, Singapore 629117","Pioneer","1 Joo Koon Cir","Singapore","629117",,"SG","http://www.nandhanas.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=7268294159237354021","+65 6904 3766","+6569043766","1.3271539","103.678449","8MGH+V9 Singapore"
"Santoshimaa Caterers Pte. Ltd.","Restaurant","71 Pioneer Rd, Singapore 639591","Tuas","71 Pioneer Rd","Singapore","639591",,"SG",,,,"1.3170704","103.6520632","8M82+RR Singapore"
"Le Top","Restaurant","47 Tuas South Ave 1, Singapore 637328","Tuas","47 Tuas South Ave 1","Singapore","637328",,"SG",,,,"1.3187438","103.629009","8J9H+FJ Singapore"
"JSN RESTAURANT PTE. LTD","Restaurant","No 1 Soon Lee St, Singapore 627605","Jurong West","No 1 Soon Lee St","Singapore","627605",,"SG",,"+65 8384 3433","+6583843433","1.3324615","103.6968092","8MJW+XP Singapore"
"Greenhouse Bistro","Restaurant","30 Tuas Bay Dr, #01-00, Singapore 637548","Tuas","30 Tuas Bay Dr, #01-00","Singapore","637548",,"SG",,"+65 9822 0053","+6598220053","1.3154265","103.6316115","8J8J+5J Singapore"
"GV RESTAURANT PTE LTD","Indian restaurant","109 Tuas View Walk 1, Singapore 637731","Tuas","109 Tuas View Walk 1","Singapore","637731",,"SG",,"+65 8268 2648","+6582682648","1.3008866","103.6273484","8J2G+9W Singapore"
"Tuas Food Court","Restaurant","69 Tuas Bay Dr, Singapore 636826","Tuas","69 Tuas Bay Dr","Singapore","636826",,"SG",,,,"1.3178121","103.6314998","8J9J+4H Singapore"
"Long King Canteen","Asian restaurant","69R Tuas South Ave 1, #01-01, Singapore 639926","Tuas","69R Tuas South Ave 1, #01-01","Singapore","639926",,"SG",,,,"1.3131847","103.6279858","8J7H+75 Singapore"
"AL-DIA Indian Muslim Restaurant","Indian restaurant","2 Tuas South Street 2, Singapore 637895","Tuas","2 Tuas South Street 2","Singapore","637895",,"SG",,,,"1.3078432","103.6315106","8J5J+4J Singapore"
"AA Restaurant","Indian restaurant","01-12 14 Tuas Ave 1, Singapore 639499","Tuas","01-12 14 Tuas Ave 1","Singapore","639499",,"SG",,"+65 9477 6642","+6594776642","1.3215273","103.6611946","8MC6+JF Singapore"
"Fillmes Ris Bar","Bar & grill","51 Pioneer Sector 1, Singapore 628437","Pioneer","51 Pioneer Sector 1","Singapore","628437",,"SG",,,,"1.3003729","103.6554466","8M24+45 Singapore"
"KJM CURRY HOUSE & RESTAURANT","Indian restaurant","3 Sakra Rd, Singapore 627878","Western Islands","3 Sakra Rd","Singapore","627878",,"SG",,"+65 9865 1168","+6598651168","1.2673385","103.704543","7P83+WR Singapore"
"Jai Raja's Pte Ltd","Restaurant","15 Tuas View Cl, 92 Tuas South Ave 3, Singapore 637485","Tuas","15 Tuas View Cl, 92 Tuas South Ave 3","Singapore","637485",,"SG",,"+65 9850 7386","+6598507386","1.3005644","103.624359","8J2F+6P Singapore"
"Mariners' Corner Restaurant","Restaurant","106 Clementi Street 12, #01-40, Singapore 120106","Clementi","106 Clementi Street 12, #01-40","Singapore","120106",,"SG","https://www.facebook.com/pages/category/Family-Style-Restaurant/Mariners-Corner-Restaurant-164932550195771/","+65 6224 9928","+6562249928","1.322078","103.7695238","8QC9+RR Singapore"
"Peperoni Pizzeria @ Upper Thomson","Italian restaurant","267 Upper Thomson Rd, Singapore 574394","Bishan","267 Upper Thomson Rd","Singapore","574394",,"SG","https://www.peperoni.com.sg/","+65 6681 6726","+6566816726","1.3536172","103.8332567","9R3M+C8 Singapore"
"Parker Korean Restaurant","Korean restaurant","209 Upper Thomson Rd, Singapore 574347","Bishan","209 Upper Thomson Rd","Singapore","574347",,"SG","https://parkerrestaurant.wixsite.com/parkerrestaurant","+65 6251 2606","+6562512606","1.352035","103.8350761","9R2P+R2 Singapore"
"Tandoori Corner","Indian restaurant","400 Balestier Rd, #01-12 Balestier Plaza, Singapore 329802","Novena","400 Balestier Rd, #01-12 Balestier Plaza","Singapore","329802",,"SG","http://www.tandooricorner.com.sg/","+65 6250 0200","+6562500200","1.3258138","103.8500717","8VG2+82 Singapore"
"Shake Shack Junction 8","Western restaurant","9 Bishan Pl, #01-51 Shopping Centre, Junction 8, Singapore 579837","Bishan","9 Bishan Pl, #01-51 Shopping Centre, Junction 8","Singapore","579837",,"SG","http://shakeshack.com.sg/",,,"1.3511432","103.8484443","9R2X+F9 Singapore"
"JuFu Mala Kitchen Restaurant","Mandarin restaurant","11 Lor 3 Toa Payoh #01-34, Stall 4 Block C Food Court, Jackson Square, Singapore 319579","Toa Payoh","11 Lor 3 Toa Payoh #01-34, Stall 4 Block C Food Court, Jackson Square","Singapore","319579",,"SG","http://www.jufucafe.com/","+65 8646 3609","+6586463609","1.3373363","103.8485543","8RPX+WC Singapore"
"Peach Garden @ Thomson Plaza","Chinese restaurant","301 Upper Thomson Rd, #01-88 Thomson Plaza, Singapore 574408","Bishan","301 Upper Thomson Rd, #01-88 Thomson Plaza","Singapore","574408",,"SG","http://www.peachgarden.com.sg/thomson-plaza","+65 6451 3233","+6564513233","1.3548791","103.8308643","9R3J+X8 Singapore"
"East Treasure Chinese Restaurant Toa Payoh","Chinese restaurant","470 Lor 6 Toa Payoh, #01-72, Singapore 310470","Toa Payoh","470 Lor 6 Toa Payoh, #01-72","Singapore","310470",,"SG","https://easttreasure.com.sg/","+65 6252 4645","+6562524645","1.3320695","103.8493901","8RJX+RQ Singapore"
"Shaan North Indian Restaurant","Indian restaurant","31 Ocean Way #01-08 Quayside Isle, Sentosa Cove, Singapore 098375","Southern Islands","31 Ocean Way #01-08 Quayside Isle, Sentosa Cove","Singapore","098375",,"SG","https://www.shaan.sg/",,,"1.247211","103.8422832","6RWR+VW Singapore"
"FOC Sentosa","Spanish restaurant","110 Tanjong Beach Walk, Singapore 098943","Southern Islands","110 Tanjong Beach Walk","Singapore","098943",,"SG","http://www.focsentosa.com/","+65 6100 1102","+6561001102","1.2467881","103.8249765","6RWF+PX Singapore"
"Good Old Days Food Court","Singaporean restaurant","60 Siloso Bch Walk, Singapore 098997","Southern Islands","60 Siloso Bch Walk","Singapore","098997",,"SG","https://www.mountfaberleisure.com/restaurant/good-old-days/","+65 6361 0088","+6563610088","1.2516525","103.8171855","7R28+MV Singapore"
"Feng Shui Inn","Chinese restaurant","8 Sentosa Gateway, Hotel, Lobby, #01-521 & 522 Resorts World Sentosa, Equarius, Singapore 098269","Southern Islands","8 Sentosa Gateway, Hotel, Lobby, #01-521 & 522 Resorts World Sentosa, Equarius","Singapore","098269",,"SG","https://www.rwsentosa.com/en/restaurants/signature-restaurants/feng-shui-inn","+65 6577 6599","+6565776599","1.258237","103.816715","7R58+7M Singapore"
"Greenwood Fish Market","Seafood restaurant","31 Ocean Way, #01 - 04 / 05, Singapore 098375","Southern Islands","31 Ocean Way, #01 - 04 / 05","Singapore","098375",,"SG","http://greenwoodfishmarket.com/","+65 6262 0450","+6562620450","1.2477209","103.8419157","6RXR+3Q Singapore"
"Royal Taj @ Village Hotel","Indian restaurant","2, block 16 Gunner Ln, #02-06 Singapore Mess Hall, Singapore 099567","Southern Islands","2, block 16 Gunner Ln, #02-06 Singapore Mess Hall","Singapore","099567",,"SG","http://www.royaltaj.sg/","+65 9118 5896","+6591185896","1.2528382","103.8207408","7R3C+47 Singapore"
"eM By The Marina","Bar","1 Cove Ave, #02-14 Sentosa Cove Arrival Plaza, Singapore 098537","Southern Islands","1 Cove Ave, #02-14 Sentosa Cove Arrival Plaza","Singapore","098537",,"SG","https://embythemarina.business.site/?utm_source=gmb&utm_medium=referral","+65 6271 2802","+6562712802","1.2472287","103.8400467","6RWR+V2 Singapore"
"Tea House by Soup Restaurant - IMM","Cantonese restaurant","2 Jurong East Street 21, Singapore 609601","Jurong East","2 Jurong East Street 21","Singapore","609601",,"SG","http://www.souprestaurant.com.sg/","+65 6899 1811","+6568991811","1.3343489","103.7463786","8PMW+PH Singapore"
"Maria restaurant pvt ltd","Indian restaurant","10 Lor Bakar Batu, Singapore 348744","Geylang","10 Lor Bakar Batu","Singapore","348744",,"SG",,,,"1.3269971","103.8714613","8VGC+QH Singapore"
"Curry Leaf Restaurant Pte. Ltd.","Restaurant","165 Tg Pagar Rd, Singapore 088539","Tanjong Pagar","165 Tg Pagar Rd","Singapore","088539",,"SG",,"+65 6220 2040","+6562202040","1.274961","103.843575","7RFV+XC Singapore"
"Paradise Classic","Chinese restaurant","78 Airport Blvd., #04 - 244, Singapore 819666","Changi","78 Airport Blvd., #04 - 244","Singapore","819666",,"SG","https://www.paradisegp.com/brand-paradise-classic/","+65 6214 3129","+6562143129","1.3608481","103.9897553","9X6Q+8W Singapore"
"Jack's Place Jewel Changi Airport","Restaurant","78 Airport Blvd., #04-219, Singapore 819666","Changi","78 Airport Blvd., #04-219","Singapore","819666",,"SG","https://www.jacksplace.com.sg/","+65 6214 9173","+6562149173","1.3602545","103.990184","9X6R+43 Singapore"
"Pondok Daun Upeh Restaurant","Restaurant","929 Tampines Street 91, Block 929, Singapore 520929","Tampines","929 Tampines Street 91, Block 929","Singapore","520929",,"SG",,,,"1.3463015","103.9396416","8WWQ+GV Singapore"
"Sushiro Jewel Changi","Conveyor belt sushi restaurant","78 Airport Boulevard B2-227/228 Jewel, Singapore Changi Airport, Singapore 819666","Changi","78 Airport Boulevard B2-227/228 Jewel, Singapore Changi Airport","Singapore","819666",,"SG","https://sushiro-jewel-changi.business.site/?utm_source=gmb&utm_medium=referral","+65 6513 4115","+6565134115","1.3597153","103.989438","9X5Q+VQ Singapore"
"J.B. Ah Meng Restaurant","Chinese restaurant","534 Geylang Rd, Singapore 389490","Geylang","534 Geylang Rd","Singapore","389490",,"SG",,"+65 6741 2418","+6567412418","1.3137378","103.8861926","8V7P+FF Singapore"
"5 Star Restaurant & Catering Pte Ltd","Restaurant","Singapore 486121","Tampines",,"Singapore","486121",,"SG","https://www.sgpbusiness.com/company/5-Star-Restaurant-Catering-Pte-Ltd","+65 6636 3129","+6566363129","1.3370669","103.9460997","8WPW+RC Singapore"
